ea	fascode	idw	a2_x	a2	a2x	a2a	a2b	a2bb	a2c	a2dx	a2d	a2d1	a2ex	a3a1	a3b	a3a	a4yr	a4mth	a5	a5a	a9	a10	a17	a18	a19	a20	a21	a6_a	a6_b	a6a	a7	a7a	a8	a11	a12ax	a12bx	a12dx	a12ex	a12fx	a12d1	a12f1	a26	a21a_x	a21b_x	a21a	a21b	a2e	a5b	commid14	b14x	b14aday	b14amth	b14bday	b14bmth	b16ba	b16aa	b16ab	b16ab_a_mth	b16ab_a_yr	b16ab_b_mth	b16ab_b_yr	b16f	bd00a	bd01a_a	bd01a_b	bd01a_c	bd01a_d	bd01a_e	bd01a_f	bd01a_v	bd01aa	bd01ba	bd01bb	bd01bc	bd01bd	bd02a	bd03b	bd04b	bd04a	bd08	bd09	bd10	module	idivwr	resvis	langmain	langoth	fp2	result	reason	sup_obs	sup_edit	sup_verif	cp1	cp2	cp3	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	lk05	lk13	lk15	lk16	lk17	lk19	lk20	lk21	lk22	lk23	lk24	lk01_14_14	lk02_14_14	lk03_14_14	pb1	pb2	pb3	pb3a	pb3b	pb3c	pb3d	pb3e	pb3f	pb3g	pb3h	pb3i	pb3j	pb4	pb5	facwght14s	fcode14
"001"	"0012501"	"001"	1	25	1	3	4	2	3					95	2011	2012	2	6	95	998	1	1	1	95	4	3	2	3	3		3			1	1	1	1	1	1	62	12	5	1	1	66600	500000		500000	"1202"	1	5	4	11	4	1	3						6	3																				"PRA"	"A53"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A53"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022501"
"001"	"0012502"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022502"
"001"	"0012503"	"001"	1	36	3	3	5	8	3					95	2001	2009	1	1	1	72	3	1	1	1	2	1		3	3		3			7	1	1	3	3	3	40	12	3	1	1	5000000	5000000		100000000	"1202"	1	5	4	11	4	3	3						6	3																				"PRA"	"A52"	1	0	96	1	1		1	3	3				3	3	1	3	1	1	1	1		3								"A"	1	2	"A52"		"A41"	"B01"	3	3	3	3	3	12	1	62	1	2	"A"	2										1	1	0.8333333134651184	"12022503"
"001"	"0012504"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022504"
"001"	"0012505"	"001"	1	24	3	3	4	2	3					95	2012	2014	1	1	3	2	1	1	3		2	3	2	3	3		3			1	1	1	1	1	1	62	12	5	1	1	0	300000		300000	"1202"	1	5	4	11	4	1	3						6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				1	1	3		6	1	1	1		3								"W"	2	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022505"
"001"	"0012506"	"001"																																															"1202"																																		"PRA"	"A52"	3	0	96	3	3	1	1	3	3																																																				"12022506"
"001"	"0012507"	"001"																																															"1202"																																		"PRA"	"A53"	3	0	96	3	3	1	3	3	3																																																				"12022507"
"001"	"0012508"	"001"	1	24	3	3	4	2	3					95	2012	1994	2	6	2	168	1	1	1	1	10			3	3		3			1	1	1	3	3	3	60	12	5	1	1	0	4500000		4500000	"1202"	1	5	4	11	4	3	3						6	3																				"PRA"	"A52"	1	0	96	3	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	3	"A52"		"A41"	"B01"	3	3	3	3	3	12	1	62	1	2	"G"							2				1	1	0.8333333134651184	"12022508"
"001"	"0012509"	"001"	1	28	3	3	4	3	3					95	2012	2012	1	6	95	28	1	1	1	95	4	3	1	3	3		3			1	1	1	1	1	1	62	12	5	1	1	25000	1600000		1600000	"1202"	1	12	4	18	4	3	3						6	3																				"PRA"	"A53"	1	0	96	3	1		3	3	3				3	3	1	3	6	1	3	1		3								"W"	2	4	"A53"		"A41"	"B01"	3	3	3	3	3	12	1	62	3															0.8333333134651184	"12022509"
"002"	"0022501"	"002"	1	28	3	3	4	2	3					95	2007	2010	5	0	1	1	1	1	1	1	4	3	3	3	3		3			1	1	1	1	1	1	34	12	4	1	1	2300000	2350000		50000	"1201"	1	12	4	18	4	1	3						6	3																				"PRA"	"A51"	1	0	96	1	1		3	3	3				3	3	3		6	1	1	1		3								"W"	2	4	"A51"		"A41"	"B01"	3	3	3	3	3	12	14	34	3															0.5555555820465088	"12012501"
