ea	fascode	idw	hpr1	hpr3	hpr3a	hpr4	hpr5	hpr11a	hpr11b	hpr11c	hpr11d	hpr11e	hpr11f	hpr11g	hpr11h	hpr11i	hpr11j	hpr11k	hpr11l	hpr11m	hpr11n	hpr11o	hpr12a	hpr12b	hpr12c	hpr12d	hpr12e	hpr12f	hpr12g	hpr12h	hpr12i	hpr12j	hpr12k	hpr12l	hpr12m	hpr12n	hpr13a	hpr13b	hpr13c	hpr13d	hpr13e	hpr13f	hpr13g	hpr13h	hpr13i	hpr14a	hpr14b	hpr14c	hpr14d	hpr14e	hpr14f	hpr14g	hpr15	hpr17	hpr17a	hpr18	hpr19	hpr25a	hpr25b	hpr25c	hpr25d	hpr25e	hpr25f	hpr25g	hpr25h	hpr25i	hpr25j	hpr25k	hpr25l	hpr25m	hpr25n	hpr25o	hpr25q	hpr26a	hpr26b	hpr26c	hpr26d	hpr26e	hpr26f	hpr26g	hpr26h	hpr26i	hpr26j	hpr26k	hpr26l	hpr26m	hpr26n	hpr27a	hpr27b	hpr27c	hpr27d	hpr27e	hpr27f	hpr27g	hpr27h	hpr27i	hpr27j	hpr28a	hpr28b	hpr28c	hpr28d	hpr28e	hpr28f	hpr28g	hpr28h	hpr28i	hpr29a	hpr29b	hpr29c	hpr29d	hpr29e	hpr29f	hpr29g	hpr29h	commid14	hpr30	hpr32	hpr32a	hpr33	hpr34	hpr40a	hpr40b	hpr40c	hpr40d	hpr40e	hpr40f	hpr40g	hpr40h	hpr40i	hpr40j	hpr40k	hpr40l	hpr40m	hpr40n	hpr40o	hpr41a	hpr41b	hpr41c	hpr41d	hpr41e	hpr41f	hpr41g	hpr41h	hpr41i	hpr41k	hpr41l	hpr42a	hpr42b	hpr42c	hpr42d	hpr42e	hpr42f	hpr42g	hpr42h	hpr42i	hpr42j	hpr42k	hpr42l	hpr42m	hpr42n	hpr42o	hpr42q	hpr43a	hpr43b	hpr43c	hpr44a	hpr44b	hpr44c	hpr44d	hpr44e	hpr44f	hpr44g	hpr44h	hpr44i	hpr44j	hpr44k	hpr45	hpr47	hpr47a	hpr48	hpr49	hpr55a	hpr55b	hpr55c	hpr55d	hpr55e	hpr55f	hpr55g	hpr55h	hpr56a	hpr56b	hpr56c	hpr56d	hpr56e	hpr57a	hpr57b	hpr57c	hpr57d	hpr57e	hpr57f	hpr57g	hpr57h	hpr57i	hpr57j	hpr57k	hpr57l	hpr57m	hpr57n	hpr58a	hpr58b	hpr58c	hpr58d	hpr58e	hpr58f	hpr58g	hpr58h	hpr58i	hpr59a	hpr59b	hpr59c	hpr59d	hpr59e	hpr59f	hpr59g	hpr59h	hpr59i	hpr59j	hpr59k	hpr59l	hpr59m	hpr60a	hpr60b	hpr60c	hpr60d	hpr60e	hpr60f	hpr60g	hpr60h	hpr60i	hpr60j	hpr60k	hpr6_1	hpr6_3	hpr6_4	hpr6_2	hpr7_1	hpr7_3	hpr7_4	hpr7_2	hpr8_1	hpr8_3	hpr8_4	hpr8_2	hpr20_2	hpr20_1	hpr20_4	hpr20_3	hpr21_2	hpr21_1	hpr21_4	hpr21_3	hpr22_2	hpr22_1	hpr22_4	hpr22_3	hpr35_4	hpr35_1	hpr35_3	hpr35_7	hpr35_2	hpr35_5	hpr35_6	hpr36_4	hpr36_1	hpr36_3	hpr36_7	hpr36_2	hpr36_5	hpr36_6	hpr37_4	hpr37_1	hpr37_3	hpr37_7	hpr37_2	hpr37_5	hpr37_6	hpr50_4	hpr50_7	hpr50_6	hpr50_1	hpr50_3	hpr50_2	hpr50_5	hpr51_4	hpr51_7	hpr51_6	hpr51_1	hpr51_3	hpr51_2	hpr51_5	hpr52_4	hpr52_7	hpr52_6	hpr52_1	hpr52_3	hpr52_2	hpr52_5	facwght14s	fcode14
"001"	"0012501"	"001"	1	3	95	2011	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	1	1	3	3	3	3	3	3	3	1	3	95	2011	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	2	1	2	2	2	2	3	2	1	3	1	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	"1202"	1	3	95	2011	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	3	3	3	3	2	1	2	2	2	2	3	3	3	3	1	1	3	95	2011	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	3	2	2	2	2	2	2	1	3	3	3	3				1				3	1	3	3		3				1			3	3	3	3	3	3	3															3	3	3	3	3	3	3															0.8333333134651184	"12022501"
"001"	"0012503"	"001"	1	1	7	2008	1	1	1	2	2	1	2	1	2	2	1	1	2	2	2	2	1	3	2	2	3	1	2	1	2	1	2	1	2	2	2	1	1	2	2	2	1	1	1	1	2	2	1	3	3	1	1	1	7	2008	1	1	1	1	2	1	3	3	3	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	3	2	1	1	2	3	1	1	3	3	2	3	2	2	2	1	2	2	2	3	2	1	3	2	1	2	2	2	3	2	2	"1202"	1	1	7	2008	1	2	1	1	1	1	2	2	1	1	3	2	2	1	2	1	2	2	2	1	1	1	1	2	2	1	2	2	1	2	1	1	2	2	2	1	2	2	2	2	2	1	1	1	1	2	2	1	2	1	2	1	2	1	3	3	2	3																																																																	1	1	1	1	1	1	1	1					1	1	1	1	1	1	3	3			1	1	3	3	3	3	3	3	3																																				0.8333333134651184	"12022503"
"001"	"0012505"	"001"	1	3	95	2012	3	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	3	3	2	1	2	1	2	1	2	3	2	2	2	1	2	3	3	2	2	2	1	3	3	3	3	3	3	3	3																																																														"1202"	1	3	95	2012	3	1	1	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2	1	3	3	3	2	2	2	1	2	2	2	1	3	3	3	3	2	1	2	2	2	2	2	3	3	3	1	3																																																																																																																																			0.8333333134651184	"12022505"
"001"	"0012508"	"001"	1	4	95	2012	3	1	2	3	3	3	3	1	3	3	2	1	2	2	2	3	3	3	3	3	3	2	3	1	3	2	3	1	3	3	2	1	2	3	3	1	3	1	1	3	3	3	3	3	3	3	3																																																														"1202"	1	4	95	2012	3	3	1	2	2	2	1	2	1	2	3	3	3	1	3	3	1	3	3	3	1	3	2	3	3	2	2	2	3	2	2	3	3	2	2	1	1	1	3	2	2	2	3	3	3	3	1	1	1	2	3	2	2	3	1	3	1	1	4	95	2012	3	1	1	2	2	2	2	3	3	1	2	3	1	3	3	3	3	3	2	3	3	3	3	3	2	2	3	3	1	1	1	1	3	3	2	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	1	2	2	2	3	3	2	1	2																																																																			0.8333333134651184	"12022508"
"001"	"0012509"	"001"	1	3	95	2012	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2	3	2	3	2	1	3	2	1	2	2	2	3	2	2	2	3	3	3	3	3	3	3	3																																																														"1202"	1	3	95	2012	1	1	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	3	3	2	2	3	2	2	2	2	3	2	2	3	3	2	2	2	2	3	2	3	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	3	1	3	95	2012	1	2	1	3	2	2	2	3	3	2	3	3	2	2	2	3	3	3	3	3	3	2	2	2	2	2	3	3	3	1	1	2	2	3	2	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	1	2	3	3	3	3																					3	1	3	3	3	3	3		1													3	3	3	3	3	3	3															0.8333333134651184	"12022509"
"002"	"0022501"	"002"	1	3	95	2007	3	1	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	3	2	3	3	2	2	1	2	3	3	2	3	3	2	1	2	3	3	2	2	1	1	3	3	1	3	3	3	3	3																																																														"1201"	1	3	95	2007	3	2	1	1	1	1	2	3	2	2	2	1	3	3	3	3	3	3	3	3	1	2	1	3	3	3	3	2	2	2	3	2	2	3	1	1	2	1	3	2	3	3	3	3	3	3	2	1	2	1	2	2	2	3	2	3	2	1	3	95	2007	3	1	2	1	1	1	3	3	3	2	1	3	1	3	2	3	3	2	2	3	3	3	3	3	3	2	3	3	3	3	1	1	2	3	2	3	2	1	3	3	3	3	3	3	3	3	3	3	3	3	1	3	2	2	2	2	3	3	3	1	2																																																																			0.5555555820465088	"12012501"
"002"	"0022503"	"002"	1	4	7	2014	3	1	2	1	1	2	2	3	2	2	3	1	2	2	2	2	2	2	2	3	3	2	2	1	2	2	2	2	2	2	2	3	1	3	3	3	2	2	1	3	3	3	3	3	3	3	3																																																														"1201"	1	4	7	2014	3	2	1	1	3	1	2	1	1	2	2	1	3	2	2	3	2	3	3	3	2	2	2	3	3	1	2	2	2	2	2	2	3	2	2	1	1	2	3	2	3	2	3	3	3	3	2	1	2	2	2	2	3	3	1	3	2	1	4	7	2014	3	1	2	1	2	1	2	2	2	1	2	2	1	3	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	3	3	3	3	2	1	1	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	2	3	3	3	1	2																																																																			0.5555555820465088	"12012503"
"002"	"0022507"	"002"	1	3	95	2010	3	1	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	1	1	2	3	2	2	2	1	3	3	3	3	3	3	3	3																																																														"1201"	1	3	95	2010	3	1	1	1	1	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	1	1	3	2	2	2	3	3	3	3	2	1	2	2	1	2	2	3	1	3	2	3																																																																																																																																			0.5555555820465088	"12012507"
"002"	"0022508"	"002"	1	3	95	2010	3	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3	2	3	3	2	2	2	2	2	2	3	2	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3																																																														"1201"	1	3	95	2010	3	1	2	2	3	3	2	2	2	2	2	3	3	2	3	3	2	2	3	3	2	2	2	2	3	2	2	3	3	2	2	3	3	3	2	2	2	2	3	2	3	2	2	3	3	3	2	2	2	3	2	2	3	3	2	3	2	3																																																																																																																																			0.5555555820465088	"12012508"
"002"	"0022515"	"002"	1	3	95	2010	3	1	2	1	2	1	2	1	3	2	1	1	2	2	1	1	1	3	2	2	3	1	3	1	2	2	2	2	2	3	2	1	2	3	2	2	2	2	1	3	3	3	3	3	3	3	3																																																														"1201"	1	3	95	2010	3	1	1	1	2	2	3	2	1	1	3	1	2	1	3	2	1	2	3	3	1	2	2	2	3	1	1	1	1	2	2	3	3	2	2	2	1	1	3	3	3	2	3	3	3	3	2	3	3	2	2	2	2	3	3	3	1	3																																																																																																																																			0.5555555820465088	"12012515"
